prompt,completion
#000000,oscuro_END
#2C3E50,oscuro_END
#34495E,oscuro_END
#7F8C8D,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
#7F8C8D,oscuro_END
#34495E,oscuro_END
#2C3E50,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
#7F8C8D,oscuro_END
#34495E,oscuro_END
#2C3E50,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
#7F8C8D,oscuro_END
#34495E,oscuro_END
#2C3E50,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
#7F8C8D,oscuro_END
#34495E,oscuro_END
#2C3E50,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
#7F8C8D,oscuro_END
#34495E,oscuro_END
#2C3E50,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
#7F8C8D,oscuro_END
#34495E,oscuro_END
#2C3E50,oscuro_END
#8E44AD,brillante_END
#9B59B6,brillante_END
#3498DB,brillante_END
#1ABC9C,brillante_END
#27AE60,brillante_END
#2ECC71,brillante_END
#F1C40F,brillante_END
#F39C12,brillante_END
#E67E22,brillante_END
#D35400,brillante_END
#E74C3C,brillante_END
#C0392B,brillante_END
#ECF0F1,oscuro_END
#BDC3C7,oscuro_END
#95A5A6,oscuro_END
